행정구역분류,행정구역_x,지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금,평균 월세 단위면적당 보증금,평균 단위면적당 월세금,평균 전세 단위면적당 보증금,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),count_bus,count_transport,count_도시철도,sum_all_shop,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식
31260,경기도 양주시,42.312832693333334,20.87711359,0.000366667,21.429649011353803,1.1079928955551783,149.14875015411707,55.92655344764546,0.839889185,252.21166339158526,34.969727541554526,1.272824491027072,164.0438802772158,73.42838353740764,1.7270742174168918,394.11102064269403,46.43857838449035,1.2369451972060714,239.8788286,42558,268026,117518,1411,1414,3,56191,629,293,46,427,2298,1016,178,395,345,2634
31270,경기도 포천시,51.32324824928571,27.96294545642857,0.000257143,17.794527629280704,0.8784337566179399,117.78832159846239,73.3049833,0.9894130050617524,299.6900466679629,38.132674955650195,1.0255631823170845,164.3610434891675,63.59486392121397,1.6934213324211227,438.8235336550541,48.206762450716155,1.1467078191044748,255.16573635266175,34706,143323,72876,1149,1149,0,66631,574,212,35,376,2643,1021,482,342,403,3206
31280,경기도 여주시,45.0132892,22.83009302416667,0.000208333,22.522816629642033,0.93885479,147.70891001092076,67.38111155,1.0122324311112034,285.4966338351208,34.73306572927378,0.9215485177040862,203.0763014522837,61.12002857167852,1.6874695355022087,388.4677971272329,46.43925562059584,1.1400263185332598,256.18741060638956,24130,114412,55514,1202,1204,2,49637,345,179,26,295,1789,656,151,266,251,2025
31550,경기도 연천군,52.428233168999995,29.41782161,0.00011,19.08153790072353,0.9581870968750522,97.65958189122722,70.93982798850627,0.9495006719706233,305.6566195610739,59.370441908025235,1.0405329137710864,192.87917836858506,70.66311338418919,1.7685549717663267,410.32579567416406,55.01373029536105,1.1791939136381553,251.63029386910665,11015,41584,21943,680,683,3,28390,108,49,15,101,657,212,142,79,97,878
31570,경기도 가평군,51.73213485,27.97051657333333,0.000283333,23.23843849330225,1.013934545568833,117.13995351529674,55.41148853187128,1.0030401989927038,291.4919340799492,51.48322858910107,1.141220730995396,183.19993541345306,47.508713160998276,1.615842123383074,410.47409575946034,44.41046719,1.1935093997350015,250.5764796920398,16380,62302,32606,976,980,4,11504,274,128,23,196,1098,339,1628,137,216,1757
31580,경기도 양평군,46.741171685833336,24.238110601666666,0.000225,33.83885267308147,0.9346691146976943,176.94878662057548,76.15011559191446,1.1071704156373134,328.50398780533857,48.24017273559687,0.9244457433758827,216.9808056634331,69.30011583499513,1.6135898665264612,427.4959925667404,56.88231420889698,1.144968785059338,287.4823931696312,27443,125238,61811,1125,1134,9,18536,580,342,39,540,1548,562,700,217,215,2126
32010,강원특별자치도 춘천시,47.57226945,25.98213991,0.000228,19.462256211836515,1.1227992633639086,167.9602990322835,54.68218320101376,0.9169080433721848,263.9386345908139,44.50937108084054,1.0315205312877733,211.41647350746985,58.17836480029255,1.6780004249238676,421.71361268220494,44.208043823495835,1.1873070657369336,266.257255,57304,286426,135498,1746,1752,6,37095,1228,683,137,447,3653,1852,664,586,716,5593
32020,강원특별자치도 원주시,45.65476166,23.795627067599998,0.000288,13.27510812,0.9783135935993328,139.8936831350458,39.32465461529361,0.7595024111262831,203.42590935765168,38.26732681168814,0.9486736496898751,235.17577010939434,56.98994097355064,1.710810477419222,405.9045139170579,36.96425763064047,1.0993250329402093,246.0999691297874,71709,361503,171275,1948,1948,0,34643,1294,801,185,684,4916,2570,417,787,806,6789
32030,강원특별자치도 강릉시,46.084077620952385,24.23713688809524,0.000214286,16.249068228711117,1.0833116510971295,166.81617063483543,58.98698078132667,1.054412629880409,287.0347489,32.65104821,0.9583100381573495,226.30410106244477,63.405445140370354,1.817557728446679,423.6540415022527,42.823135590429196,1.2283980118953917,275.9522655207896,45656,209439,103682,40,40,0,33922,794,521,82,322,3133,1672,1238,510,587,5468
32040,강원특별자치도 동해시,47.767784189000004,25.944884504999997,0.00019,20.70777490435902,0.7865436610531366,173.06783044830215,39.425609688720456,0.661700343,170.8952103044451,29.614847362908527,0.7562087278734946,159.27764789290683,70.66311338418919,1.7685549717663267,399.8192290700365,40.10283633503132,0.9932519259099328,225.76497942892266,18532,88625,43361,393,393,0,8692,229,167,31,53,1390,668,216,185,202,2043
32050,강원특별자치도 태백시,51.0658578,28.69223019,0.0001375,18.38466535,0.7506364082907666,138.25942346628403,44.75649629990218,0.7239563089225176,240.07708158308196,48.428107784889335,1.0233900281741706,198.03343727647604,70.66311338418919,1.7685549717663267,438.8235336550541,45.558095704957125,1.0666344292300567,253.79836899522402,9901,38702,20377,414,414,0,11195,124,66,14,10,722,333,84,86,104,904
32060,강원특별자치도 속초시,48.52032893,25.97889875,0.000225,22.309247379737755,1.1703953056248133,171.6226704113685,41.63043128603564,1.1832903427749346,258.3374029136232,23.922294961712023,0.8621582042526368,196.0583218548495,42.98526448165258,1.6137094376108254,385.76367625710634,32.71180953,1.2073883225658026,252.94551785923687,18652,82054,41330,213,213,0,9933,287,142,41,167,1526,609,342,175,264,2655
32070,강원특별자치도 삼척시,53.402043777500005,31.496053020833333,0.000141667,18.266079281434198,1.1022574104072755,125.59400703327684,55.55831110523235,0.9152205241830765,241.19715923668892,49.25732827649094,1.4532067516916642,221.28699813772084,61.101404060647205,1.638299395535929,438.82353365505406,46.04578068095117,1.2772460204881737,256.7254245198306,17139,62651,33700,151,151,0,14730,147,79,13,42,900,392,367,144,138,1593
32510,강원특별자치도 홍천군,49.521274762999994,27.48758357,0.00016,14.007175432559785,0.7309551701351181,125.40225858890047,80.65608672351564,0.9911478669767464,304.38794506345624,54.627145210008145,1.0055821520379369,205.90910936780227,65.72084622588922,1.7828634508003993,438.8235336550541,53.752813398604985,1.12763716,268.6307116722103,16006,67309,34594,981,981,0,16230,195,102,18,132,1157,412,595,171,139,1514
32520,강원특별자치도 횡성군,49.13645240222222,27.39370476111111,0.000144444,36.70129765217384,0.7151238028608282,97.82771202,82.58291774,0.9706140026583802,296.0295024415616,50.20067641259109,0.9577300654835853,228.59820557495146,70.66311338418919,1.7685549717663267,438.8235336550541,60.03700129600458,1.1030057107393723,265.3197384200633,10960,46359,23908,1104,1104,0,7982,151,77,7,120,668,259,253,102,87,999
32530,강원특별자치도 영월군,57.172106194444446,35.15064478111111,0.000122222,23.452885949048827,0.8346234468445697,117.46835317727447,81.86267657884807,1.0411310426406353,288.48790852838306,65.31296488458693,1.046719558751496,245.03941060602983,70.66311338418919,1.7685549717663267,438.8235336550541,60.3229102,1.172757255000757,272.4548014916854,11469,37332,21276,814,814,0,12578,109,45,10,38,625,197,401,96,125,811
32540,강원특별자치도 평창군,50.41480316,27.965976623750002,0.0001375,28.951572950939298,0.7644639972023681,91.58012552782775,46.50682760871562,0.8912011680005985,220.53344192055212,41.28113056,0.90672679,210.10028661221116,62.615646768501385,1.684934547829309,393.5071168385023,44.83879447,1.0618316256489773,228.93024272892535,10920,40659,21993,84,84,0,9862,127,85,10,86,745,268,591,180,121,1246
32550,강원특별자치도 정선군,60.69174402555556,35.07103642333333,0.000122222,21.06037417112732,0.9901076144755179,112.38341352508868,60.76615258,0.8373290847839816,244.47149857175938,45.43167930264753,1.131537484491146,258.3369943738161,63.971250483551785,1.7357582321800213,398.2340988530056,47.80736413,1.1736831039826667,253.35650133091744,10297,32651,18330,62,62,0,12943,99,40,5,21,722,215,357,134,78,1016
32560,강원특별자치도 철원군,46.33659674285714,23.96107928,0.000142857,16.94001270571075,0.5593323148679619,109.42172826874227,75.10672193922002,0.8641914783570217,252.0371167174451,58.13183289346308,1.1336754123144746,213.0000544610116,70.66311338418919,1.7685549717663267,438.8235336550541,55.21042023092353,1.0814385443264463,253.32060827556327,9349,41448,20501,353,353,0,7431,111,82,7,57,690,270,173,75,141,999
